City,variable,time,value
Ljubljana,Annual Mean Temperature,2018,9.774999619
Belgrade,Annual Mean Temperature,2018,11.88333321
Novi Sad,Annual Mean Temperature,2018,11.39583302
Budapest,Annual Mean Temperature,2018,11.23333359
Turin,Annual Mean Temperature,2018,13.24166679
Yerevan,Annual Mean Temperature,2018,11.01666641
Vienna,Annual Mean Temperature,2018,10.54166698
Bratislava,Annual Mean Temperature,2018,10.3791666
Banja Luka,Annual Mean Temperature,2018,11.30000019
Fez,Annual Mean Temperature,2018,18.0625
Zagreb,Annual Mean Temperature,2018,11.54583359
Milan,Annual Mean Temperature,2018,13.38333321
Tbilisi,Annual Mean Temperature,2018,12.86250019
Rostov,Annual Mean Temperature,2018,9.729166985
Konya,Annual Mean Temperature,2018,11.13749981
Podgorica,Annual Mean Temperature,2018,14.95833302
Marrakesh,Annual Mean Temperature,2018,19.32500076
Skopje,Annual Mean Temperature,2018,12.60833359
Dnipro,Annual Mean Temperature,2018,8.800000191
Bucharest,Annual Mean Temperature,2018,10.7458334
Sarajevo,Annual Mean Temperature,2018,10.34583378
Lyon,Annual Mean Temperature,2018,12.03749943
Kiev,Annual Mean Temperature,2018,7.941666603
Prague,Annual Mean Temperature,2018,10.07499981
Warsaw,Annual Mean Temperature,2018,8.316666603
Qom,Annual Mean Temperature,2018,18.38333321
Pristina,Annual Mean Temperature,2018,10.3125
Karaj,Annual Mean Temperature,2018,14.26249981
Ankara,Annual Mean Temperature,2018,11.1916666
Madrid,Annual Mean Temperature,2018,14.69583321
Portland,Annual Mean Temperature,2018,11.65833378
Mosul,Annual Mean Temperature,2018,20.87083435
Jerusalem,Annual Mean Temperature,2018,16.35000038
Manchester,Annual Mean Temperature,2018,9.512499809
Tehran,Annual Mean Temperature,2018,17.125
Sofia,Annual Mean Temperature,2018,10.23333359
Berlin,Annual Mean Temperature,2018,9.858333588
Paris,Annual Mean Temperature,2018,12.1875
Seattle,Annual Mean Temperature,2018,11.03750038
Gaziantep,Annual Mean Temperature,2018,15.17916679
St. Petersburg,Annual Mean Temperature,2018,5.366666794
Tashkent,Annual Mean Temperature,2018,14.38749981
Irbil,Annual Mean Temperature,2018,20.19166756
Stockholm,Annual Mean Temperature,2018,6.650000095
London,Annual Mean Temperature,2018,11.1291666
Toronto,Annual Mean Temperature,2018,8.408333778
Vilnius,Annual Mean Temperature,2018,6.391666412
Kharkiv,Annual Mean Temperature,2018,7.483333588
Andorra,Annual Mean Temperature,2018,9.091667175
Luxembourg,Annual Mean Temperature,2018,9.691666603
Rangoon,Annual Mean Temperature,2018,27.33749962
Isfahan,Annual Mean Temperature,2018,16.27499962
Cologne,Annual Mean Temperature,2018,10.8708334
